Ulasan Asli,1_Lower_Elongated,2_Emoji_to_Word,3_Slang_Normalization,4_Stemming,5_Handle_Negation,6_Final_Cleaned (Stopwords)
Awal doang bagus.. Sekarang gk guna banyak bermasalah..,awal doang bagus.. sekarang gk guna banyak bermasalah..,awal doang bagus.. sekarang gk guna banyak bermasalah..,awal doang bagus.. sekarang tidak guna banyak bermasalah..,awal doang bagus sekarang tidak guna banyak masalah,awal doang bagus sekarang tidak_guna banyak masalah,awal doang bagus sekarang tidak_guna banyak masalah
Lelet aplikasi nya,lelet aplikasi nya,lelet aplikasi nya,lambat aplikasi nya,lambat aplikasi nya,lambat aplikasi nya,lambat
Untuk membuat akun awal selalu gagal di foto KTP apalagi mau mempergunakan aplikasi JJS 🤦,untuk membuat akun awal selalu gagal di foto ktp apalagi mau mempergunakan aplikasi jjs 🤦,untuk membuat akun awal selalu gagal di foto ktp apalagi mau mempergunakan aplikasi jjs  person facepalming ,untuk membuat akun awal selalu gagal di foto kartu tanda penduduk apalagi mau mempergunakan aplikasi jjs person facepalming,untuk buat akun awal selalu gagal di foto kartu tanda duduk apalagi mau guna aplikasi jjs person facepalming,untuk buat akun awal selalu gagal di foto kartu tanda duduk apalagi mau guna aplikasi jjs person facepalming,awal gagal foto kartu tanda duduk apalagi mau guna jjs person facepalming
"Aplikasi pemerintah, tapi pelayanan dari Kominfo kurang fast, mohon maaf, saya mau mendaftar dan verifikasi nya sangat lama dari tim Kominfo nya, mohon bisa di perbaiki lagi kinerja nya karena merupakan pelayanan masyarakat🙏🏻","aplikasi pemerintah, tapi pelayanan dari kominfo kurang fast, mohon maaf, saya mau mendaftar dan verifikasi nya sangat lama dari tim kominfo nya, mohon bisa di perbaiki lagi kinerja nya karena merupakan pelayanan masyarakat🙏🏻","aplikasi pemerintah, tapi pelayanan dari kominfo kurang fast, mohon maaf, saya mau mendaftar dan verifikasi nya sangat lama dari tim kominfo nya, mohon bisa di perbaiki lagi kinerja nya karena merupakan pelayanan masyarakat terima kasih  light skin tone ","aplikasi pemerintah, tapi pelayanan dari kominfo kurang fast, mohon maaf, saya mau mendaftar dan verifikasi nya sangat lama dari tim kominfo nya, mohon bisa di perbaiki lagi kinerja nya karena merupakan pelayanan masyarakat terima kasih light skin tone",aplikasi perintah tapi layan dari kominfo kurang fast mohon maaf saya mau daftar dan verifikasi nya sangat lama dari tim kominfo nya mohon bisa di baik lagi kerja nya karena rupa layan masyarakat terima kasih light skin tone,aplikasi perintah tapi layan dari kominfo kurang_fast mohon maaf saya mau daftar dan verifikasi nya sangat lama dari tim kominfo nya mohon bisa di baik lagi kerja nya karena rupa layan masyarakat terima kasih light skin tone,perintah layan kominfo kurang_fast maaf mau sangat lama tim kominfo bisa baik lagi kerja rupa layan terima kasih light skin tone
"Untuk log in selalu ber masalah, dari segi login bagus beda dgn wifi2 lain tapi yang ini kurang akurat log in keseringan gagal, pake data untuk log in juga sama 😖 mohon tinjau ulang kak akses tersebut","untuk log in selalu ber masalah, dari segi login bagus beda dgn wifi2 lain tapi yang ini kurang akurat log in keseringan gagal, pake data untuk log in juga sama 😖 mohon tinjau ulang kak akses tersebut","untuk log in selalu ber masalah, dari segi login bagus beda dgn wifi2 lain tapi yang ini kurang akurat log in keseringan gagal, pake data untuk log in juga sama  confounded face  mohon tinjau ulang kak akses tersebut","untuk log in selalu ber masalah, dari segi login bagus beda dengan wifi2 lain tapi yang ini kurang akurat log in keseringan gagal, pake data untuk log in juga sama confounded face mohon tinjau ulang kak akses tersebut",untuk log in selalu ber masalah dari segi login bagus beda dengan wifi2 lain tapi yang ini kurang akurat log in sering gagal pake data untuk log in juga sama confounded face mohon tinjau ulang kak akses sebut,untuk log in selalu ber masalah dari segi login bagus beda dengan wifi lain tapi yang ini kurang_akurat log in sering gagal pake data untuk log in juga sama confounded face mohon tinjau ulang kak akses sebut,log in ber masalah segi bagus beda wifi lain kurang_akurat log in gagal pake log in sama confounded face tinjau ulang sebut
"Pendaftaran perlu foto KTP dan foto KTP dengan diri sendiri. Aplikasi nasional sejenis peduli lindungi aja ga perlu swafoto diri dengan KTP. Saya ragu pemerintah bisa jaga data. Lagi pula untuk apa swafoto dengan KTP. Salah salah mengamankan data, jika dicuri bisa dijadikan pinjol dan kejahatan lainnya. Sangat tidak ramah dengan privasi","pendaftaran perlu foto ktp dan foto ktp dengan diri sendiri. aplikasi nasional sejenis peduli lindungi aja ga perlu swafoto diri dengan ktp. saya ragu pemerintah bisa jaga data. lagi pula untuk apa swafoto dengan ktp. salah salah mengamankan data, jika dicuri bisa dijadikan pinjol dan kejahatan lainnya. sangat tidak ramah dengan privasi","pendaftaran perlu foto ktp dan foto ktp dengan diri sendiri. aplikasi nasional sejenis peduli lindungi aja ga perlu swafoto diri dengan ktp. saya ragu pemerintah bisa jaga data. lagi pula untuk apa swafoto dengan ktp. salah salah mengamankan data, jika dicuri bisa dijadikan pinjol dan kejahatan lainnya. sangat tidak ramah dengan privasi","pendaftaran perlu foto kartu tanda penduduk dan foto kartu tanda penduduk dengan diri sendiri. aplikasi nasional sejenis peduli lindungi aja tidak perlu swafoto diri dengan ktp. saya ragu pemerintah bisa jaga data. lagi pula untuk apa swafoto dengan ktp. salah salah mengamankan data, jika dicuri bisa dijadikan pinjol dan kejahatan lainnya. sangat tidak ramah dengan privasi",daftar perlu foto kartu tanda duduk dan foto kartu tanda duduk dengan diri sendiri aplikasi nasional jenis peduli lindung aja tidak perlu swafoto diri dengan ktp saya ragu perintah bisa jaga data lagi pula untuk apa swafoto dengan ktp salah salah aman data jika curi bisa jadi pinjol dan jahat lain sangat tidak ramah dengan privasi,daftar perlu foto kartu tanda duduk dan foto kartu tanda duduk dengan diri sendiri aplikasi nasional jenis peduli lindung aja tidak_perlu swafoto diri dengan ktp saya ragu perintah bisa jaga data lagi pula untuk apa swafoto dengan ktp salah salah aman data jika curi bisa jadi pinjol dan jahat lain sangat tidak_ramah dengan privasi,perlu foto kartu tanda duduk foto kartu tanda duduk diri sendiri nasional jenis peduli lindung tidak_perlu swafoto diri ktp ragu perintah bisa jaga lagi swafoto ktp salah salah aman curi bisa jadi pinjol jahat lain sangat tidak_ramah privasi
"Jelek dan sering troble jss, terlihat pemerintah kota sendiri seperti tidak siap dan terkesan di paksakan, dari infrastruktur pendukung, kualitas sdm untuk pengembangan dan perawatan tidak mumpuni di bidangnya. Saran kedepan pemerintah harusnya berfokus pada skil, pengalaman ataupun keterampilan dalam perekrutan SDM, jangan cumua ijasah dan test tertulis doank, karna teori sama praktek beda jauh, kedepan pemkot harus berkaca dari luar negri mereka tidak berfokus pada ijasah tapi skil.","jelek dan sering troble jss, terlihat pemerintah kota sendiri seperti tidak siap dan terkesan di paksakan, dari infrastruktur pendukung, kualitas sdm untuk pengembangan dan perawatan tidak mumpuni di bidangnya. saran kedepan pemerintah harusnya berfokus pada skil, pengalaman ataupun keterampilan dalam perekrutan sdm, jangan cumua ijasah dan test tertulis doank, karna teori sama praktek beda jauh, kedepan pemkot harus berkaca dari luar negri mereka tidak berfokus pada ijasah tapi skil.","jelek dan sering troble jss, terlihat pemerintah kota sendiri seperti tidak siap dan terkesan di paksakan, dari infrastruktur pendukung, kualitas sdm untuk pengembangan dan perawatan tidak mumpuni di bidangnya. saran kedepan pemerintah harusnya berfokus pada skil, pengalaman ataupun keterampilan dalam perekrutan sdm, jangan cumua ijasah dan test tertulis doank, karna teori sama praktek beda jauh, kedepan pemkot harus berkaca dari luar negri mereka tidak berfokus pada ijasah tapi skil.","jelek dan sering troble jss, terlihat pemerintah kota sendiri seperti tidak siap dan terkesan di paksakan, dari infrastruktur pendukung, kualitas sdm untuk pengembangan dan perawatan tidak mumpuni di bidangnya. saran kedepan pemerintah harusnya berfokus pada skil, pengalaman ataupun keterampilan dalam perekrutan sdm, jangan cumua ijasah dan test tertulis doank, karna teori sama praktek beda jauh, kedepan pemerintah kota harus berkaca dari luar negri mereka tidak berfokus pada ijasah tapi skil.",jelek dan sering troble jss lihat perintah kota sendiri seperti tidak siap dan kes di paksa dari infrastruktur dukung kualitas sdm untuk kembang dan awat tidak mumpuni di bidang saran depan perintah harus fokus pada skil alam atau terampil dalam rekrut sdm jangan cumua ijasah dan test tulis doank karna teori sama praktek beda jauh depan perintah kota harus kaca dari luar negri mereka tidak fokus pada ijasah tapi skil,jelek dan sering troble jss lihat perintah kota sendiri seperti tidak_siap dan kes di paksa dari infrastruktur dukung kualitas sdm untuk kembang dan awat tidak_mumpuni di bidang saran depan perintah harus fokus pada skil alam atau terampil dalam rekrut sdm jangan_cumua ijasah dan test tulis doank karna teori sama praktek beda jauh depan perintah kota harus kaca dari luar negri mereka tidak_fokus pada ijasah tapi skil,jelek troble perintah kota sendiri tidak_siap kes paksa infrastruktur dukung kualitas sdm kembang awat tidak_mumpuni bidang depan perintah fokus skil alam terampil rekrut sdm jangan_cumua ijasah test tulis doank karna teori sama praktek beda jauh depan perintah kota kaca luar negri tidak_fokus ijasah skil
"Habis update tidak bisa diakses, Mohon diperbaiki, Web juga tidak bisa diakses","habis update tidak bisa diakses, mohon diperbaiki, web juga tidak bisa diakses","habis update tidak bisa diakses, mohon diperbaiki, web juga tidak bisa diakses","habis update tidak bisa diakses, mohon diperbaiki, web juga tidak bisa diakses",habis update tidak bisa akses mohon baik web juga tidak bisa akses,habis update tidak_bisa akses mohon baik web juga tidak_bisa akses,habis tidak_bisa baik web tidak_bisa
"tolong diperbaiki lagi, nyambung wifi buat buka situs situs lainya ga bisa trus,main youtube aja dipersulit","tolong diperbaiki lagi, nyambung wifi buat buka situs situs lainya ga bisa trus,main youtube aja dipersulit","tolong diperbaiki lagi, nyambung wifi buat buka situs situs lainya ga bisa trus,main youtube aja dipersulit","tolong perbaiki lagi, nyambung wifi buat buka situs situs lainya tidak bisa trus,main youtube aja dipersulit",tolong baik lagi nyambung wifi buat buka situs situs lai tidak bisa trus main youtube aja sulit,tolong baik lagi nyambung wifi buat buka situs situs lai tidak_bisa trus main youtube aja sulit,baik lagi nyambung wifi situs situs lai tidak_bisa trus main youtube sulit
Tidak bisa login,tidak bisa login,tidak bisa login,tidak bisa login,tidak bisa login,tidak_bisa login,tidak_bisa
Cctv error,cctv error,cctv error,cctv error,cctv error,cctv error,error
",aplikasi cuma buat penipuan biar cepat habis kuwota anda, Jngn Download aplikasi ini brooo",",aplikasi cuma buat penipuan biar cepat habis kuwota anda, jngn download aplikasi ini broo",",aplikasi cuma buat penipuan biar cepat habis kuwota anda, jngn download aplikasi ini broo",",aplikasi cuma buat penipuan biar cepat habis kuwota anda, jngn download aplikasi ini broo",aplikasi cuma buat tipu biar cepat habis kuwota anda jngn download aplikasi ini broo,aplikasi cuma buat tipu biar cepat habis kuwota anda jngn download aplikasi ini broo,cuma tipu biar cepat habis kuwota anda jngn download broo
Kok sekarang ngak bisa buat login wifi si kot pemkot pekok,kok sekarang ngak bisa buat login wifi si kot pemkot pekok,kok sekarang ngak bisa buat login wifi si kot pemkot pekok,kok sekarang tidak bisa buat login wifi si kot pemerintah kota bodoh,kok sekarang tidak bisa buat login wifi si kot perintah kota bodoh,kok sekarang tidak_bisa buat login wifi si kot perintah kota bodoh,sekarang tidak_bisa wifi si kot perintah kota bodoh
CCTV ga bisa dibuka. Padahal paketan lancar jaya. Ini sih murni dari Aplikasinya,cctv ga bisa dibuka. padahal paketan lancar jaya. ini sih murni dari aplikasinya,cctv ga bisa dibuka. padahal paketan lancar jaya. ini sih murni dari aplikasinya,cctv tidak bisa dibuka. padahal paketan lancar jaya. ini sih murni dari aplikasinya,cctv tidak bisa buka padahal paket lancar jaya ini sih murni dari aplikasi,cctv tidak_bisa buka padahal paket lancar jaya ini sih murni dari aplikasi,tidak_bisa padahal paket lancar jaya murni
Lama proses aktivasinya sudah lebih dari 1 jam gk selesai² apa jangan² petugasnya lgi bobok atau apa?,lama proses aktivasinya sudah lebih dari 1 jam gk selesai² apa jangan² petugasnya lgi bobok atau apa?,lama proses aktivasinya sudah lebih dari 1 jam gk selesai² apa jangan² petugasnya lgi bobok atau apa?,lama proses aktivasinya sudah lebih dari 1 jam tidak selesai² apa jangan² petugasnya lgi bobok atau apa?,lama proses aktivasinya sudah lebih dari 1 jam tidak selesai apa jangan tugas lgi bobok atau apa,lama proses aktivasinya sudah lebih dari jam tidak_selesai apa jangan_tugas lgi bobok atau apa,lama proses aktivasinya lebih jam tidak_selesai jangan_tugas lgi bobok
offline semua.. 🥱,offline semua.. 🥱,offline semua..  yawning face ,offline semua.. yawning face,offline semua yawning face,offline semua yawning face,offline semua yawning face
Kenapasi kok semua cctv nya gabisa diakses. Jelek bgt kualitasnya.tolong dong pemerintah Jogja dibenerin lagi app ini buat memudahkan rakyat,kenapasi kok semua cctv nya gabisa diakses. jelek bgt kualitasnya.tolong dong pemerintah jogja dibenerin lagi app ini buat memudahkan rakyat,kenapasi kok semua cctv nya gabisa diakses. jelek bgt kualitasnya.tolong dong pemerintah jogja dibenerin lagi app ini buat memudahkan rakyat,kenapasi kok semua cctv nya tidak bisa diakses. jelek banget kualitasnya.tolong dong pemerintah yogyakarta dibenerin lagi aplikasi ini buat memudahkan rakyat,napas kok semua cctv nya tidak bisa akses jelek banget kualitas tolong dong perintah yogyakarta dibenerin lagi aplikasi ini buat mudah rakyat,napas kok semua cctv nya tidak_bisa akses jelek banget kualitas tolong dong perintah yogyakarta dibenerin lagi aplikasi ini buat mudah rakyat,napas semua tidak_bisa jelek kualitas perintah dibenerin lagi mudah rakyat
"CCTV TIDAK BISA MUNCUL SEMUAAA,RASIDO SMART","cctv tidak bisa muncul semuaa,rasido smart","cctv tidak bisa muncul semuaa,rasido smart","cctv tidak bisa muncul semuaa,rasido smart",cctv tidak bisa muncul semuaa rasido smart,cctv tidak_bisa muncul semuaa rasido smart,tidak_bisa muncul semuaa rasido smart
"APLIKASI APA-APAAN INI BUAT CHEK PBB AJA GA BISA, MENDING GA USAH ADA APLIKASI","aplikasi apa-apaan ini buat chek pbb aja ga bisa, mending ga usah ada aplikasi","aplikasi apa-apaan ini buat chek pbb aja ga bisa, mending ga usah ada aplikasi","aplikasi apa-apaan ini buat chek pbb aja tidak bisa, mending tidak usah ada aplikasi",aplikasi apa ini buat chek pbb aja tidak bisa mending tidak usah ada aplikasi,aplikasi apa ini buat chek pbb aja tidak_bisa mending tidak_usah ada aplikasi,chek pbb tidak_bisa mending tidak_usah
"Dari beberapa hari yang lalu mendaftar di akun JSS tapi tidak bisa masuk. Padahal dari kelurahan diarahkan untuk memakai JSS. Keterangan selalu: Nama Tidak Cocok dengan data kependudukan. Terus harus bagaimana? Kalau seperti ini namanya bukan SMART service, menyusahkan. Terus petugasnya ngapain? Mending cara jadul, sehari jadi","dari beberapa hari yang lalu mendaftar di akun jss tapi tidak bisa masuk. padahal dari kelurahan diarahkan untuk memakai jss. keterangan selalu: nama tidak cocok dengan data kependudukan. terus harus bagaimana? kalau seperti ini namanya bukan smart service, menyusahkan. terus petugasnya ngapain? mending cara jadul, sehari jadi","dari beberapa hari yang lalu mendaftar di akun jss tapi tidak bisa masuk. padahal dari kelurahan diarahkan untuk memakai jss. keterangan selalu: nama tidak cocok dengan data kependudukan. terus harus bagaimana? kalau seperti ini namanya bukan smart service, menyusahkan. terus petugasnya ngapain? mending cara jadul, sehari jadi","dari beberapa hari yang lalu mendaftar di akun jss tapi tidak bisa masuk. padahal dari kelurahan diarahkan untuk memakai jss. keterangan selalu: nama tidak cocok dengan data kependudukan. terus harus bagaimana? kalau seperti ini namanya bukan smart service, menyusahkan. terus petugasnya ngapain? mending cara jadul, sehari jadi",dari beberapa hari yang lalu daftar di akun jss tapi tidak bisa masuk padahal dari lurah arah untuk pakai jss terang selalu nama tidak cocok dengan data duduk terus harus bagaimana kalau seperti ini nama bukan smart service susah terus tugas ngapain mending cara jadul hari jadi,dari beberapa hari yang lalu daftar di akun jss tapi tidak_bisa masuk padahal dari lurah arah untuk pakai jss terang selalu nama tidak_cocok dengan data duduk terus harus bagaimana kalau seperti ini nama bukan_smart service susah terus tugas ngapain mending cara jadul hari jadi,beberapa hari lalu tidak_bisa padahal lurah arah terang nama tidak_cocok duduk terus nama bukan_smart service susah terus tugas ngapain mending cara jadul hari jadi
